Employee Name,Emplyment No.,Designation,Reports To,Emplyment No.
Amrita Bhatia,20001,Dy. HOD,Ajay Kumar,10001
Ananya Chauhan,20002,Dy. HOD,Ajay Kumar,10001
Ritu Mehta,20003,Dy. HOD,Ajay Kumar,10001
Ayush Jain,20004,Dy. HOD,Ajay Kumar,10001
Kunal Joshi,20005,Dy. HOD,Ajay Kumar,10001
Ravi Kashyap,20006,Dy. HOD,Ajay Kumar,10001
Sanjay Verma,20007,Dy. HOD,Ajay Kumar,10001
Prakash Kumar,20008,Dy. HOD,Ajay Kumar,10001
Ravi Mittal,20009,Dy. HOD,Ajay Kumar,10001
Vivek Mehta,20010,Dy. HOD,Ajay Kumar,10001
Bhavna Mathur,20011,Dy. HOD,Ajay Kumar,10001
Divya Shukla,30001,Line Manager,Amrita Bhatia,20001
Sakshi Rastogi,30002,Line Manager,Amrita Bhatia,20001
Dhruv Tiwari,30003,Line Manager,Ananya Chauhan,20002
Pallavi Jain,30004,Line Manager,Ananya Chauhan,20002
Dinesh Sinha,30005,Line Manager,Ritu Mehta,20003
Amit Dubey,30006,Line Manager,Ritu Mehta,20003
Meena Goel,30007,Line Manager,Ayush Jain,20004
Pragya Gupta,30008,Line Manager,Ayush Jain,20004
Pragya Chauhan,30009,Line Manager,Kunal Joshi,20005
Sandeep Kashyap,30010,Line Manager,Kunal Joshi,20005
Vivek Chopra,30011,Line Manager,Ravi Kashyap,20006
Dev Tiwari,30012,Line Manager,Ravi Kashyap,20006
Pooja Menon,30013,Line Manager,Sanjay Verma,20007
Ashish Kapoor,30014,Line Manager,Sanjay Verma,20007
Prakash Mehta,30015,Line Manager,Prakash Kumar,20008
Kavita Pandey,30016,Line Manager,Prakash Kumar,20008
Reena Gupta,30017,Line Manager,Ravi Mittal,20009
Nikhil Sharma,30018,Line Manager,Vivek Mehta,20010
Nidhi Malhotra,30019,Line Manager,Bhavna Mathur,20011
Gaurav Goyal,40001,Station Manager,Divya Shukla,30001
Nandini Tiwari,40002,Station Manager,Divya Shukla,30001
Bhavna Pandey,40003,Station Manager,Divya Shukla,30001
Sanjay Bhatia,40004,Station Manager,Divya Shukla,30001
Tanmay Bhatia,40005,Station Manager,Divya Shukla,30001
Vikas Mathur,40006,Station Manager,Divya Shukla,30001
Shreya Kashyap,40007,Station Manager,Divya Shukla,30001
Sandeep Gupta,40008,Station Manager,Divya Shukla,30001
Rakesh Bansal,40009,Station Manager,Sakshi Rastogi,30002
Nikhil Dubey,40010,Station Manager,Sakshi Rastogi,30002
Lokesh Kapoor,40011,Station Manager,Sakshi Rastogi,30002
Ayush Tiwari,40012,Station Manager,Sakshi Rastogi,30002
Pankaj Kapoor,40013,Station Manager,Sakshi Rastogi,30002
Jyoti Khanna,40014,Station Manager,Sakshi Rastogi,30002
Rahul Verma,40015,Station Manager,Sakshi Rastogi,30002
Pallavi Iyer,40016,Station Manager,Sakshi Rastogi,30002
Sanjay Tripathi,40017,Station Manager,Dhruv Tiwari,30003
Aniket Malhotra,40018,Station Manager,Dhruv Tiwari,30003
Hemant Rastogi,40019,Station Manager,Dhruv Tiwari,30003
Sanjay Kapoor,40020,Station Manager,Dhruv Tiwari,30003
Geeta Iyer,40021,Station Manager,Dhruv Tiwari,30003
Aarav Kumar,40022,Station Manager,Dhruv Tiwari,30003
Zoya Rastogi,40023,Station Manager,Dhruv Tiwari,30003
Neeraj Rastogi,40024,Station Manager,Dhruv Tiwari,30003
Sakshi Gupta,40025,Station Manager,Pallavi Jain,30004
Lokesh Bansal,40026,Station Manager,Pallavi Jain,30004
Ashish Menon,40027,Station Manager,Pallavi Jain,30004
Dev Shukla,40028,Station Manager,Pallavi Jain,30004
Prakash Gupta,40029,Station Manager,Pallavi Jain,30004
Abhishek Khanna,40030,Station Manager,Pallavi Jain,30004
Varun Singh,40031,Station Manager,Pallavi Jain,30004
Sandeep Shukla,40032,Station Manager,Pallavi Jain,30004
Ankit Dubey,40033,Station Manager,Dinesh Sinha,30005
Shivam Sharma,40034,Station Manager,Dinesh Sinha,30005
Pradeep Kashyap,40035,Station Manager,Dinesh Sinha,30005
Arjun Verma,40036,Station Manager,Dinesh Sinha,30005
Sourabh Goyal,40037,Station Manager,Dinesh Sinha,30005
Sameer Menon,40038,Station Manager,Dinesh Sinha,30005
Zoya Agarwal,40039,Station Manager,Dinesh Sinha,30005
Ankit Chauhan,40040,Station Manager,Dinesh Sinha,30005
Monika Sharma,40041,Station Manager,Amit Dubey,30006
Ayush Bhatia,40042,Station Manager,Amit Dubey,30006
Vikram Singh,40043,Station Manager,Amit Dubey,30006
Akshay Rana,40044,Station Manager,Amit Dubey,30006
Rajat Mittal,40045,Station Manager,Amit Dubey,30006
Nidhi Gupta,40046,Station Manager,Amit Dubey,30006
Ayush Nair,40047,Station Manager,Amit Dubey,30006
Rahul Sethi,40048,Station Manager,Amit Dubey,30006
Amrita Mittal,40049,Station Manager,Meena Goel,30007
Arnav Mathur,40050,Station Manager,Meena Goel,30007
Vivek Dwivedi,40051,Station Manager,Meena Goel,30007
Bharat Rastogi,40052,Station Manager,Meena Goel,30007
Amrita Jain,40053,Station Manager,Meena Goel,30007
Neha Chauhan,40054,Station Manager,Meena Goel,30007
Amit Pandey,40055,Station Manager,Meena Goel,30007
Shreya Tripathi,40056,Station Manager,Meena Goel,30007
Jatin Kashyap,40057,Station Manager,Pragya Gupta,30008
Pooja Rana,40058,Station Manager,Pragya Gupta,30008
Dhruv Kapoor,40059,Station Manager,Pragya Gupta,30008
Neha Mittal,40060,Station Manager,Pragya Gupta,30008
Harish Tripathi,40061,Station Manager,Pragya Gupta,30008
Dev Menon,40062,Station Manager,Pragya Gupta,30008
Amrita Goel,40063,Station Manager,Pragya Gupta,30008
Dev Mehta,40064,Station Manager,Pragya Gupta,30008
Manoj Rastogi,40065,Station Manager,Pragya Chauhan,30009
Deepika Nair,40066,Station Manager,Pragya Chauhan,30009
Nandini Chauhan,40067,Station Manager,Pragya Chauhan,30009
Meena Mehta,40068,Station Manager,Pragya Chauhan,30009
Akash Chaudhary,40069,Station Manager,Pragya Chauhan,30009
Ashish Sinha,40070,Station Manager,Pragya Chauhan,30009
Sandeep Singh,40071,Station Manager,Pragya Chauhan,30009
Deepika Goel,40072,Station Manager,Pragya Chauhan,30009
Rajesh Saxena,40073,Station Manager,Sandeep Kashyap,30010
Monika Yadav,40074,Station Manager,Sandeep Kashyap,30010
Mohit Mathur,40075,Station Manager,Sandeep Kashyap,30010
Nisha Verma,40076,Station Manager,Sandeep Kashyap,30010
Madhuri Chaudhary,40077,Station Manager,Sandeep Kashyap,30010
Anjali Tiwari,40078,Station Manager,Sandeep Kashyap,30010
Lakshmi Rastogi,40079,Station Manager,Sandeep Kashyap,30010
Nandini Menon,40080,Station Manager,Sandeep Kashyap,30010
Vikas Nair,40081,Station Manager,Vivek Chopra,30011
Vinay Sethi,40082,Station Manager,Vivek Chopra,30011
Aditi Sethi,40083,Station Manager,Vivek Chopra,30011
Tanmay Agarwal,40084,Station Manager,Vivek Chopra,30011
Varun Arora,40085,Station Manager,Vivek Chopra,30011
Dhruv Iyer,40086,Station Manager,Vivek Chopra,30011
Mehul Nair,40087,Station Manager,Vivek Chopra,30011
Mehul Verma,40088,Station Manager,Vivek Chopra,30011
Varun Goyal,40089,Station Manager,Dev Tiwari,30012
Anjali Agarwal,40090,Station Manager,Dev Tiwari,30012
Pallavi Sharma,40091,Station Manager,Dev Tiwari,30012
Neeraj Yadav,40092,Station Manager,Dev Tiwari,30012
Sachin Sharma,40093,Station Manager,Dev Tiwari,30012
Pooja Nair,40094,Station Manager,Dev Tiwari,30012
Divya Bhatia,40095,Station Manager,Dev Tiwari,30012
Mehul Rastogi,40096,Station Manager,Dev Tiwari,30012
Sonal Verma,40097,Station Manager,Pooja Menon,30013
Karan Kashyap,40098,Station Manager,Pooja Menon,30013
Karan Rana,40099,Station Manager,Pooja Menon,30013
Rakesh Chopra,40100,Station Manager,Pooja Menon,30013
Nisha Iyer,40101,Station Manager,Pooja Menon,30013
Aarav Chauhan,40102,Station Manager,Pooja Menon,30013
Aniket Singh,40103,Station Manager,Pooja Menon,30013
Aniket Jain,40104,Station Manager,Pooja Menon,30013
Pradeep Rana,40105,Station Manager,Ashish Kapoor,30014
Madhuri Bansal,40106,Station Manager,Ashish Kapoor,30014
Rahul Saxena,40107,Station Manager,Ashish Kapoor,30014
Divya Sinha,40108,Station Manager,Ashish Kapoor,30014
Amit Jain,40109,Station Manager,Ashish Kapoor,30014
Sandeep Iyer,40110,Station Manager,Ashish Kapoor,30014
Anjali Sinha,40111,Station Manager,Ashish Kapoor,30014
Arnav Srivastava,40112,Station Manager,Ashish Kapoor,30014
Nidhi Bhatia,40113,Station Manager,Prakash Mehta,30015
Dinesh Tiwari,40114,Station Manager,Prakash Mehta,30015
Prakash Mittal,40115,Station Manager,Prakash Mehta,30015
Jatin Menon,40116,Station Manager,Prakash Mehta,30015
Aditya Dubey,40117,Station Manager,Prakash Mehta,30015
Jatin Verma,40118,Station Manager,Prakash Mehta,30015
Manoj Chauhan,40119,Station Manager,Prakash Mehta,30015
Prakash Chopra,40120,Station Manager,Prakash Mehta,30015
Ravi Gupta,40121,Station Manager,Kavita Pandey,30016
Deepika Dwivedi,40122,Station Manager,Kavita Pandey,30016
Geeta Sharma,40123,Station Manager,Kavita Pandey,30016
Deepak Dubey,40124,Station Manager,Kavita Pandey,30016
Sakshi Goyal,40125,Station Manager,Kavita Pandey,30016
Tanmay Jain,40126,Station Manager,Kavita Pandey,30016
Sneha Bansal,40127,Station Manager,Kavita Pandey,30016
Rohit Goel,40128,Station Manager,Kavita Pandey,30016
Reena Srivastava,40129,Station Manager,Reena Gupta,30017
Hemant Srivastava,40130,Station Manager,Reena Gupta,30017
Mohit Mehta,40131,Station Manager,Nikhil Sharma,30018
Vikram Tiwari,40132,Station Manager,Nikhil Sharma,30018
Shivam Srivastava,40133,Station Manager,Nidhi Malhotra,30019
Ashish Chopra,40134,Station Manager,Nidhi Malhotra,30019
Sunil Pandey,50001,Station Controller,Gaurav Goyal,40001
Monika Arora,50002,Station Controller,Gaurav Goyal,40001
Kunal Chaudhary,50003,Station Controller,Gaurav Goyal,40001
Ritu Tripathi,50004,Station Controller,Gaurav Goyal,40001
Akash Singh,50005,Station Controller,Gaurav Goyal,40001
Chetan Srivastava,50006,Station Controller,Nandini Tiwari,40002
Isha Sethi,50007,Station Controller,Nandini Tiwari,40002
Ayush Mishra,50008,Station Controller,Nandini Tiwari,40002
Nikhil Saxena,50009,Station Controller,Nandini Tiwari,40002
Jyoti Chauhan,50010,Station Controller,Nandini Tiwari,40002
Nisha Jain,50011,Station Controller,Bhavna Pandey,40003
Harish Malhotra,50012,Station Controller,Bhavna Pandey,40003
Naveen Bansal,50013,Station Controller,Bhavna Pandey,40003
Ayush Yadav,50014,Station Controller,Bhavna Pandey,40003
Pankaj Arora,50015,Station Controller,Bhavna Pandey,40003
Mehul Goyal,50016,Station Controller,Sanjay Bhatia,40004
Madhuri Shukla,50017,Station Controller,Sanjay Bhatia,40004
